"Order ID",SKU,ASIN,Title,"Purchase Date","Last Update Date","Order Status",Fullfillment,"Item Status",Quantity,"Item Price","Item Tax","Shipping Price","Shipping Tax","Gift Price","Gift Tax","Item Promotional Discount","Shipping Promotional Discount","Promotional ID","Shipping City","Shipping State","Shipping Post","Shipping country"
114-8326929-1045004,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers, Colanders and Sifters Crafted for Quinoa & Amaranth with Com","2018-12-12 11-06-49","2018-12-12 11-06-56",Pending,Amazon,Unshipped,1,20.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,CHICAGO,IL,60643-4714,US
112-2357418-7782614,LF17CC505YD-112017-SL,B075TD8FYD,"LiveFresh Unbleached Cheesecloth with 50' All-Natural Unbleached Cooking Twine and Cheesemaking Guide eBook - Grade 50, 5.5 Yards (49.5sq feet) - Wash","2018-12-12 10-40-08","2018-12-12 10-42-42",Canceled,Amazon,Cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Pontotoc,MS,38863,US
111-7873857-7874668,FO-VS0D-4KOY,B01GAVLCGI,"LiveFresh Stainless Steel Heavy Duty Fine Mesh 13"" Splatter Screen with Resting Feet and Handle Grip","2018-12-12 09-36-28","2018-12-12 09-38-04",Pending,Amazon,Unshipped,1,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,KELLER,TX,76248-8723,US
111-1131526-0542642,LF17CC505YD-112017-SL,B075TD8FYD,"LiveFresh Unbleached Cheesecloth with 50' All-Natural Unbleached Cooking Twine and Cheesemaking Guide eBook - Grade 50, 5.5 Yards (49.5sq feet) - Wash","2018-12-12 09-34-11","2018-12-12 09-36-49",Pending,Amazon,Unshipped,1,7.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,NAPERVILLE,IL,60540-6609,US
114-2362811-2618612,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa, Tea, Soup, Sifting, Baking, Straining - 5-1/2 Inch","2018-12-12 09-27-11","2018-12-12 09-27-15",Pending,Amazon,Unshipped,1,14.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"US Core Free Shipping Promotion A3JU1FCINF5SD0","San Diego",CA,92111,US
111-2631292-8867418,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa","2018-12-12 09-01-44","2018-12-12 09-03-41",Pending,Amazon,Unshipped,1,21.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Bokeelia,Florida,33922,US
114-7148515-5772252,RSR-TDVTMFP-00643-10.4-091218-8.42,B01MS09QYN,"Tango Down Vickers Base Pad Fits Glock 43/Caliber 9mm","2018-12-12 08-34-49","2018-12-12 08-34-57",Pending,Amazon,Unshipped,2,35.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,TOOELE,UT,84074-3336,US
113-0083310-1078656,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers, Colanders and Sifters Crafted for Quinoa & Amaranth with Com","2018-12-12 08-32-00","2018-12-12 08-32-06",Pending,Amazon,Unshipped,1,20.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,VANCOUVER,WA,98682-5095,US
114-8156570-8235427,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers, Colanders and Sifters Crafted for Quinoa & Amaranth with Com","2018-12-12 07-56-16","2018-12-12 07-56-28",Pending,Amazon,Unshipped,1,20.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,MENOMONIE,WI,54751-3155,US
111-7131836-4305023,0B-K1IQ-514W,B00UPOVWEO,"LiveFresh Premium Quality Fine Mesh Stainless Steel Strainer Sieve Colander - 7-5/8 Inch","2018-12-12 07-55-58","2018-12-12 07-56-05",Pending,Amazon,Unshipped,1,15.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"US Core Free Shipping Promotion A3JU1FCINF5SD0",JUNEAU,AK,99801-9617,US
111-2831759-4488263,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &","2018-12-12 07-23-28","2018-12-12 07-23-34",Pending,Amazon,Unshipped,1,17.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"SAN JOSE",CA,95124-1344,US
111-7337502-8300222,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa, Tea, Soup, Sifting, Baking, Straining - 5-1/2 Inch","2018-12-12 07-17-47","2018-12-12 07-18-03",Pending,Amazon,Unshipped,1,14.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"US Core Free Shipping Promotion A3JU1FCINF5SD0",Folsom,CA,95630,US
111-4981443-8995438,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa","2018-12-12 07-06-07","2018-12-12 07-06-14",Pending,Amazon,Unshipped,1,21.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,ROCHESTER,"NEW YORK",14616-1943,US
111-3366875-0464210,9D-YS1D-95HO,B00XGL85HK,"LiveFresh Premium Fine Mesh Stainless Steel Strainer with Non Slip Handle for Quinoa, Tea, Soup, Sifting, Baking, Straining - 5-1/2 Inch","2018-12-12 06-55-34","2018-12-12 06-57-12",Pending,Amazon,Unshipped,1,14.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,SURPRISE,AZ,85379-5742,US
