"Order ID","Merchant Order ID",SKU,ASIN,Title,"Purchase Date","Last Update Date","Order Status",Fullfillment,"Item Status",Quantity,"Item Price","Item Tax","Shipping Price","Shipping Tax","Gift Price","Gift Tax","Item Promotional Discount","Shipping Promotional Discount","Promotional ID","Shipping City","Shipping State","Shipping Post","Shipping country"
111-0864377-0909021,111-0864377-0909021,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,17.97,,,,,,,,,MIAMI,FL,33132-1307,US
114-5105331-6250611,114-5105331-6250611,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2018-12-31,2018-12-31,Shipped,Amazon,Shipped,1.0,17.97,0.95,,,,,,,,Arlington,VA,22207,US
113-5498636-8001841,113-5498636-8001841,ESP-2730618-0-091318-5.99,B077BT7698,"OPTIMUM NUTRITION ESSENTIAL AMINO ENERGY with Green Tea and Green Coffee Extract Individual Stick Packs Watermelon 6 Count",2018-12-30,2018-12-31,Pending,Amazon,Shipped,2.0,29.78,2.98,,,,,,,,BELLEVUE,WA,98004-8649,US
113-5498636-8001841,113-5498636-8001841,ESP-2730618-0-091318-5.99,B077BT7698,"OPTIMUM NUTRITION ESSENTIAL AMINO ENERGY with Green Tea and Green Coffee Extract Individual Stick Packs Watermelon 6 Count",2018-12-30,2018-12-31,Pending,Amazon,Unshipped,1.0,14.89,,,,,,,,,BELLEVUE,WA,98004-8649,US
114-8810798-2093809,114-8810798-2093809,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.97,,,,,,,,,Orlando,FL,32824,US
114-2992561-9589058,114-2992561-9589058,1H-VG33-OKFI,B0166P6QNM,"LiveFresh Stainless Steel Micro-perforated 5-Quart Colander - Professional Strainer with Heavy Duty Handles and Self-draining Solid Ring Base - Dishwa",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.75,,,,,,,,,COLUMBUS,OH,43212-3124,US
111-3620629-4311458,111-3620629-4311458,LF2017RMS22-072117-A,B074539PSF,"LiveFresh Large Stainless Steel Fine Mesh Strainer with Reinforced Frame and Sturdy Rubber Handle Grip - Designed for Chefs and Commercial Kitchens &",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,17.97,,,,,,,,,BALTIMORE,MD,21227-1802,US
114-6466433-8507467,114-6466433-8507467,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.97,,,,,,,,,Middlebury,VT,05753-8835,US
114-3207494-3570618,114-3207494-3570618,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.97,,,,,,,,,RAEFORD,NC,28376-9048,US
112-0629179-2213014,112-0629179-2213014,LF17CC505YD-112017-SL,B075TD8FYD,"LiveFresh Unbleached Cheesecloth with 50' All-Natural Unbleached Cooking Twine and Cheesemaking Guide eBook - Grade 50 5.5 Yards (49.5sq feet) - Wash",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,7.97,,,,,,,,,BOULDER,CO,80303-9109,US
112-3971758-3325056,112-3971758-3325056,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.97,,,,,,,,,NAPLES,FL,34108-7272,US
112-7703315-9949847,112-7703315-9949847,5J-C9MU-08T2,B00RN907C2,"LiveFresh Mesh Strainer Stainless Set - Premium Fine Stainless Steel Fine Mesh Strainers Colanders and Sifters Crafted for Quinoa & Amaranth with Com",2018-12-31,2018-12-31,Pending,Amazon,Unshipped,1.0,20.97,,,,,,,,,NAPLES,FL,34108-7272,US
